Severity,Description
0,Slow traffic due to accident on Meridian Ave at Northgate Way.
0,Accident on 43rd St at 9th Ave.
0,Accident on 23rd Ave near Boyer Ave.
0,Very slow traffic due to accident on WA-520 Westbound at Lake Washington Blvd.
0,Queueing traffic and Left lane blocked due to accident on WA-523 145th St both ways at I-5.
0,Accident on Riviera Pl at 125th St.
0,Accident on 1st Ave at Atlantic St.
0,Slow traffic due to accident on 1st Ave at Washington St.
0,Accident on 9th Ave at Seneca St.
0,Accident on 9th Ave near 55th St.
0,Accident on Alaska St at 40th Ave.
0,Accident on 15th Ave at 53rd St.
0,Accident on 4th Ave at 45th St.
0,Accident on 3rd Ave at Leary Way / 3rd Ave.
0,Accident on WA-99 Aurora Ave at 125th St.
0,Accident on Westlake Ave at Lenora St.
0,Accident on Western Ave at Yesler Way.
0,Accident on 1st Ave at Lander St.
0,Accident on Henderson St at 8th Ave.
0,Accident on 10th Ave at Union St.
0,Accident on King St at 12th Ave.
0,Accident on 25th Ave at Rainier Ave.
0,Accident on 33rd Ave at Union St.
1,Right lane blocked due to accident on I-5 Northbound at Exits 164 165 165A 165B 6th Ave.
0,Accident on 8th Ave at 66th St.
0,Accident on 70th St at Alonzo Ave.
0,Accident on 51st Ave at Roxbury St.
1,Lane blocked on entry ramp due to accident on I-5 Southbound at WA-900 Martin Luther King Jr Way.
1,Slow traffic and left lane blocked due to accident on I-5 Northbound near Exits 166 167 Pike St.
0,Accident on 40th St at 5th Ave.
0,Accident on 1st Ave at Madison St.
0,Accident on Lane St at 8th Ave.
0,Accident on Swift Ave at Eddy St.
0,Accident on Lane St at 8th Ave.
0,Accident on Dravus St at 22nd Ave.
0,Very slow traffic due to accident on Rainier Ave at Ferdinand St.
0,Slow traffic due to accident on 3rd Ave at Pike St.
0,Accident on 26th Ave Eastbound at Jackson St.
0,Accident on University Way near 43rd St.
0,Accident on Rainier Ave at Lander St.
0,Slow traffic due to accident on 61st St at 15th Ave.
0,Accident on WA-99 Aurora Ave at 105th St.
0,Slow traffic due to accident on Stewart St at 9th Ave.
0,Accident on 6th Ave near I-5.
0,Very slow traffic due to accident on 5th Ave at Madison St.
0,Accident on 5th Ave at 40th St.
0,Accident on 39th Ave near Dawson St.
0,Accident on Stone Way at 47th St.
1,Very slow traffic and right lane blocked due to accident on I-5 Southbound at Exits 168A 168B WA-520.
0,Slow traffic due to accident on Martin Luther King Jr Way at Cherry St.
0,Slow traffic due to accident on Rose St at Rainier Ave.
0,Accident on 25th Ave at Barton St.
0,Very slow traffic due to accident on Elliott Ave near Battery St.
0,Very slow traffic and left lane blocked due to accident on WA-523 145th St Eastbound at 1st Ave.
0,Slow traffic due to accident on Lake Washington Blvd at Lakeside Ave.
0,Slow traffic due to accident on 6th Ave at Roy St.
0,Very slow traffic due to accident on Edgar Martinez Dr at 4th Ave.
0,Slow traffic due to accident on Rainier Ave at Walker St.
0,Accident on WA-99 Aurora Ave at 135th St.
0,Slow traffic and queueing traffic due to accident on Fremont Brg Northbound at 4th Ave.
0,Queueing traffic due to accident on WA-99 Aurora Ave at WA-99 Aurora Ave.
0,Slow traffic due to accident on 4th Ave Northbound at Lenora St.
0,Accident on 80th St at 8th Ave.
0,Accident on Minor Ave at Seneca St.
0,Accident on 15th Ave at 56th St.
0,Accident on 39th Ave at Hinds St.
0,Slow traffic due to accident on 1st Ave at Cherry St.
0,Accident on 6th Ave at Jackson St.
0,Accident on Northgate Way in Seattle.
0,Accident on Broad St Southbound at 5th Ave.
0,Accident on Northlake Way at 4th Ave.
1,Right lane blocked due to accident on I-5 Northbound at Exits 164A 164B I-90.
0,Accident on WA-520 Westbound at I-5. On entry ramp.
0,Accident on WA-99 Marginal Way at Lucile St.
1,Right lane blocked due to accident on I-5 Northbound at Exit 169 7th Ave.
0,Slow traffic due to accident on WA-99 Marginal Way Northbound at 1st Ave.
0,Accident on WA-509 Northbound near 1st Ave / Cloverdale St.
0,Center lane blocked due to accident on Seattle Brg Eastbound between Delridge Way and Spokane St.
0,Accident on Boren Ave at Jefferson St.
0,Accident on Boren Ave Northbound at Fir St.
1,Right lane blocked due to accident on I-90 Westbound near Exits 3 3A 3B Rainier Ave.
0,Accident on Rainier Ave at Massachusetts St.
0,Accident on 65th St at 28th Ave.
0,Accident on Elliott Ave near 15th Ave.
0,Accident on Dexter Ave near Aloha St.
0,Accident on WA-519 Atlantic St Southbound at WA-519 Atlantic St Alaskan Way.
0,Accident on 20th Ave at Mercer St.
0,Slow traffic due to accident on Seattle Brg at Delridge Way.
0,Accident on 13th Ave at Klickitat Ave.
0,Accident on WA-99 Marginal Way near WA-509.
0,Accident on 44th Ave at Marine View Dr.
0,Slow traffic due to accident on 145th St at Linden Ave.
0,Very slow traffic due to accident on Dexter Ave Northbound near Aloha St.
0,Slow traffic due to accident on 2nd Ave at Pike St.
0,Accident on 26th Ave near Jackson St.
1,Slow traffic due to accident on I-5 Southbound at Exit 156 Interurban Ave.
0,Accident on 1st Ave at Warren Pl.
0,Very slow traffic due to accident on 4th Ave near Walker St.
0,Accident on Walden St at Della St.
0,Accident on 30th Ave at 137th St.
0,Accident on 16th Ave at Trenton St.
0,Slow traffic due to accident on 85th St at Fremont Ave.
0,Slow traffic due to accident on 3rd Ave at Spring St.
0,Accident on Minor Ave at Thomas St.
0,Slow traffic due to accident on Maynard Ave at Jackson St.
0,Slow traffic due to accident on Madison St at 18th Ave.
0,Slow traffic due to accident on Martin Luther King Jr Way at 37th Ave.
0,Queueing traffic and Right lane blocked due to accident on WA-518 Eastbound near Airport Expy.
0,Accident on 116th St at Corliss Ave.
0,Accident on Dayton Ave at 61st St.
0,Accident on Marginal Way near 94th Pl.
0,Slow traffic due to accident on Rainier Ave at Charles St.
0,Accident on 6th Ave at Lander St.
0,Accident on WA-99 Aurora Ave Southbound at WA-99 Aurora Ave.
0,Accident on WA-522 Lake City Way at 30th Ave.
0,Accident on Leary Ave at Market St.
0,Accident on 4th Ave at Florentia St.
1,Left lane blocked and slow traffic due to accident on I-5 Southbound near Exit 169 7th Ave.
0,Right lane blocked and slow traffic due to accident on WA-522 Lake City Way Southbound at I-5.
0,Accident on 12th Ave at Olive St.
0,Accident on Rainier Ave at Charles St.
1,Queueing traffic and left lane blocked due to accident on I-90 Eastbound near Exits 3 3A 3B Rainier Ave.
0,Accident on Eddy St at Albro Pl.
0,Very slow traffic due to accident on Northgate Way at 5th Ave.
0,Accident on Rainier Ave at Norman St.
0,Accident on 85th St at 24th Ave.
0,Very slow traffic due to accident on 4th Ave at Cherry St.
0,Slow traffic due to accident on 4th Ave at Horton St.
0,Accident on 12th Ave at Weller St.
0,Accident on Columbian Way at Snoqualmie St.
0,Accident on Martin Luther King Jr Way at Union St.
1,Slow traffic due to accident on I-5 Southbound before Exit 176 175th St.
1,Queueing traffic due to accident on I-5 Southbound before 50th St.
0,Accident on California Ave at Dakota St.
0,Very slow traffic due to accident on 5th Ave at Union St.
1,Very slow traffic due to accident on I-5 Southbound at Exit 171 WA-522 Lake City Way.
0,Accident on Rainier Ave at Willow St.
0,Accident on Pike Pl at Stewart St.
0,Accident on Eastlake Ave at Hamlin St.
0,Slow traffic due to accident on James St at 8th Ave.
0,Accident on Boren Ave at Broadway.
0,Slow traffic due to accident on Westlake Ave at Mercer St.
0,Accident on Bayview St at 20th Ave.
1,HOV lane blocked due to accident on I-5 Southbound at Exits 164A 164B I-90.
0,Accident on WA-99 Northbound near Michigan St.
0,Accident on Dexter Way at WA-99 Aurora Ave.
0,Accident on 7th Ave at Homer St.
0,Accident on WA-99 Alaskan Way Via Northbound at Columbia St.
0,Accident on WA-99 Marginal Way near WA-99 Marginal Way.
0,Slow traffic due to accident on 2nd Ave at Union St.
0,Slow traffic due to accident on Lenora St at Denny Way.
0,Slow traffic due to accident on Fairview Ave at Boren Ave.
0,Accident on Yesler Way at 15th Ave.
0,Accident on 29th Ave at Massachusetts St.
1,Slow traffic and right lane blocked due to accident on I-5 Northbound at Exits 164 165 165A 165B 6th Ave.
0,Very slow traffic due to accident on 6th Ave at Massachusetts St.
0,Accident on Holgate St at Beacon Ave.
0,Accident on Terry Ave at Denny Way.
0,Accident on 51st Ave at 68th St.
0,Accident on 14th Ave at Pine St.
0,Very slow traffic due to accident on 14th Ave at Dallas Ave.
0,Very slow traffic due to accident on Rainier Ave at Forest St.
0,Very slow traffic due to accident on 8th Ave at Olive Way.
0,Very slow traffic due to accident on 50th St at 11th Ave.
0,Slow traffic due to accident on 15th Ave at 47th St.
0,Very slow traffic due to accident on Mercer St at Dexter Ave.
0,Slow traffic due to accident on Elliott Ave at 6th Ave.
0,Slow traffic due to accident on 1st Ave at Yesler Way.
0,Queueing traffic due to accident on Fremont Brg Northbound at 4th Ave.
0,Slow traffic due to accident on 6th Ave at Union St.
0,Slow traffic due to accident on Northgate Way in Seattle.
1,2 left lane blocked due to accident on I-405 Southbound at Southcenter Blvd.
0,Accident on Broad St Southbound at 5th Ave.
0,Very slow traffic due to accident on 4th Ave at WA-519 Royal Brougham Way.
0,Very slow traffic due to accident on Alaskan Way at Seneca St.
0,Accident on 56th St at 17th Ave.
0,Accident on Winslow Pl near 43rd St.
0,Accident on 6th Ave at Bell St.
0,Accident on 10th Ave near Lynn St.
0,Very slow traffic due to accident on Rainier Ave at Jackson St.
0,Accident on 90th St at WA-99 Aurora Ave.
0,Accident on Utah Ave at Massachusetts St.
0,Accident on 1st Ave at Roy St.
0,Accident on 78th St at Linden Ave.
1,Queueing traffic due to accident on I-5 Southbound after Exit 169 7th Ave.
0,Very slow traffic due to accident on 8th Ave at Market St.
0,Slow traffic due to accident on Queen Anne Ave at Crockett St.
0,Accident on 1st Ave near King St.
0,Accident on WA-513 Montlake Blvd at Shelby St.
1,Right Center lane blocked due to accident on I-5 Northbound at Exit 176 175th St.
0,Queueing traffic due to accident on 5th Ave Northbound at 103rd St.
0,Queueing traffic and slow traffic due to accident on 6th Ave at Michigan St.
0,Accident on Seneca St Southbound at WA-99 Alaskan Way Via.
0,Accident on 29th Ave near Jackson St. No recent updates.
0,Accident on 12th Ave at Jackson St.
0,Accident on 43rd St at 15th Ave.
0,Accident on 6th Ave at Lucile St.
0,Accident on WA-99 near Marginal Way.
0,Accident on 6th Ave at Union St.
0,Accident on 42nd Ave near College St.
1,Accident on I-5 Southbound near Exits 164 165 165A 165B 6th Ave.
0,Turning lane blocked due to accident on 1st Ave Northbound at Massachusetts St.
0,Slow traffic due to accident on Myrtle St at Martin Luther King Jr Way.
0,Very slow traffic due to accident on 1st Ave at Hanford St.
0,Accident on 95th St at 12th Ave.
0,Slow traffic due to accident on Jackson St near Rainier Ave.
0,Slow traffic due to accident on University Way at 50th St.
0,Accident on 15th Ave at 130th Pl.
0,Accident on Rainier Ave at Sturtevant Ave.
0,Very slow traffic due to accident on Trenton St at Delridge Way.
0,Accident on 1st Ave at Harrison St.
0,Accident on 16th Ave at Morgan St.
0,Slow traffic due to accident on 130th St at Linden Ave.
0,Accident on Cherry St at 27th Ave.
0,Very slow traffic due to accident on 1st Ave at Massachusetts St.
0,Accident on 94th St at Linden Ave.
0,Very slow traffic due to accident on 4th Ave at Seattle Blvd.
0,Accident on Graham St in Seattle.
0,Very slow traffic due to accident on Morgan St at 35th Ave.
0,Left lane blocked due to accident on WA-509 Northbound at 128th St.
0,Accident on 47th St at 15th Ave.
0,Slow traffic due to accident on Hamlin St Eastbound at WA-513 Montlake Blvd.
0,Queueing traffic due to accident on Mercer St at Warren Ave.
0,Accident on Nickerson St both ways at 3rd Ave.
0,Accident on 42nd Ave at Dakota St.
0,Accident on 5th Ave at Michigan St.
1,Two left lane blocked due to accident on I-5 Southbound after Exit 163 Forest St.
0,Accident on Harbor Ave at Harbor Ln.
1,Right hand shoulder blocked due to accident on I-5 Northbound at Exit 151 Military Rd.
0,Accident on Delridge Way at Myrtle St.
0,Accident on Broadway at Yesler Way. No recent updates.
0,Accident on 24th Ave at Boyer Ave.
0,Accident on Fremont Way at 38th St.
1,Lane blocked due to accident on I-5 Southbound at Exit 172 Banner Way.
0,Accident on 1st Ave at King St.
1,Lane blocked on entry ramp due to accident on I-5 Northbound at Exits 161 162 Corson Ave.
0,Accident on 23rd Ave at Massachusetts St.
0,Accident on Cherry St at 1st Ave.
0,Lane blocked due to accident on WA-518 Westbound at Airport Expy.
0,Accident on 21st Ave at John St.
0,Accident on 1st Ave at Wall St.
0,Slow traffic due to accident on Northgate Way near Meridian Ave.
0,Lane blocked and slow traffic due to accident on WA-520 Westbound between 84th Ave and WA-513 Montlake Pl.
0,Very slow traffic due to accident on Rainier Ave at 23rd Ave.
0,Accident on 23rd Ave at Massachusetts St.
0,Accident on Market St near 32nd Ave.
0,Slow traffic due to accident on 4th Ave at Seattle Blvd.
0,Slow traffic due to accident on Airport Way near Lucile St.
0,Slow traffic due to accident on Broadway at Cherry St.
0,Accident on 35th Ave at 65th St.
1,Very slow traffic due to accident on I-5 Southbound after Exits 161 162 Corson Ave.
0,Accident on Manning St at 35th Ave.
0,Slow traffic due to accident on 1st Ave at Pike St.
0,Very slow traffic due to accident on Alaskan Way at Seneca St.
0,Accident on 10th Ave at Seneca St.
0,Slow traffic due to accident on WA-513 Montlake Pl near WA-520.
0,Slow traffic due to accident on 24th Ave at Boyer Ave.
0,Accident on Fauntleroy Way at 41st Ave.
0,Very slow traffic due to accident on Madison St at Terry Ave.
0,Very slow traffic due to accident on 125th St at 30th Ave.
0,Slow traffic due to accident on 32nd Ave at WA-523 145th St.
0,Very slow traffic due to accident on Market St at 15th Ave.
0,Very slow traffic due to accident on Myrtle St at Martin Luther King Jr Way.
0,Accident on 49th St at Market St.
0,Accident on 4th Ave Southbound at Spokane St.
0,Slow traffic due to accident on Market St at 8th Ave.
0,Accident on Harvard Ave at Mercer St.
0,Accident on 12th Ave both ways at Yesler Way.
1,Left lane blocked due to accident on I-5 Northbound at Mercer St.
1,Three lanes blocked due to accident on I-5 Southbound near Exits 163 163A 163B Seattle Brg.
0,Slow traffic due to accident on 45th St at Wallingford Ave.
0,Accident on 12th Ave at 45th St.
0,Right lane blocked due to accident on WA-99 Alaskan Way Via Northbound at Columbia St.
0,Accident on Battery St at 1st Ave.
0,Accident on Massachusetts St at Rainier Ave.
0,Accident on Elliott Ave at Mercer St.
0,Slow traffic due to accident on 45th St at 15th Ave.
0,Accident on 29th Ave at Massachusetts St.
0,Accident on Marginal Way near Delridge Way.
0,Slow traffic due to accident on Union St at 12th Ave.
0,Slow traffic due to accident on 15th Ave near 143rd St.
0,Very slow traffic due to accident on Interurban Ave at 42nd Ave.
0,Very slow traffic due to accident on Delridge Way at Trenton St.
0,Very slow traffic due to accident on WA-99 Alaskan Way Via at Western Ave.
0,Slow traffic due to accident on Shelby St at WA-513 Montlake Blvd.
0,Very slow traffic due to accident on Columbia St at WA-519 Alaskan Way.
0,Accident on Jefferson St at 9th Ave.
0,Accident on Rainier Ave at 75th Ave.
0,Accident on 35th Ave at Austin St.
0,Accident on Galer St at 2nd Ave.
0,Slow traffic due to accident on Martin Luther King Jr Way both ways at Fairbanks St.
0,Accident on Broad St Southbound at 5th Ave.
0,One lane blocked due to accident on Rainier Ave both ways at Jackson St.
0,Two lanes blocked due to accident on Denny Way Northbound at Warren Pl. Expect delays.
0,Accident on Swift Ave in Seattle.
1,2 right lane blocked due to accident on I-5 Southbound at Exits 153 154A 154AB I-405.
0,Slow traffic and left lane blocked due to accident on WA-518 Eastbound near Airport Expy.
0,Accident on 4th Ave Westbound at Madison St.
0,Slow traffic due to accident on WA-99 Aurora Ave Southbound near 125th St.
0,Slow traffic due to accident on Broad St Southbound at 5th Ave.
0,Slow traffic due to accident on Beach Dr at Benton Pl.
0,Slow traffic due to accident on 1st Ave at Pine St.
0,Two lanes blocked and slow traffic due to accident on WA-99 Alaskan Way Via Southbound near Spokane St.
0,Slow traffic due to accident on Mercer St at Westlake Ave.
0,Accident on 4th Ave at Pike St.
0,Slow traffic due to accident on 4th Ave at Michigan St.
0,Accident on 4th Ave at Jackson St.
0,Accident on 125th St at Roosevelt Way.
0,Very slow traffic due to accident on 2nd Ave at Pine St.
1,Very slow traffic due to accident on I-5 Southbound after Exits 153 154A 154AB I-405.
0,Accident on 67th St at 12th Ave.
0,Accident on 96th St at Linden Ave.
0,Very slow traffic due to accident on Alaskan Way at Seattle Brg.
0,Accident on 6th Ave at Hinds St.
0,Slow traffic due to accident on Rainier Ave at Plum St.
0,Slow traffic due to accident on Martin Luther King Jr Way at Snoqualmie St.
0,Accident on McClellan St at S Mount Baker Blvd.
0,Accident on Nevada St at WA-99 Marginal Way.
0,Very slow traffic due to accident on Minor Ave at Howell St.
0,Slow traffic due to accident on Northgate Way at Roosevelt Way.
0,Accident on 26th Ave at Roy St.
0,Accident on WA-99 1st Ave at Marginal Way.
0,Accident on Roosevelt Way near 42nd St.
0,Accident on WA-522 Lake City Way near 98th St.
0,Accident on 23rd Ave near Bertona St.
0,Accident on 41st Ave near Dawson St.
0,Accident on Rainier Ave near Henderson St.
0,Accident on Rainier Ave at Garden St.
0,Slow traffic due to accident on 6th Ave near I-5.
0,Accident on Airport Way near Carstens Pl.
0,Accident on Roy St at 26th Ave.
0,Accident on Genesee St at 37th Ave.
0,Accident on Marginal Way at Spokane St.
0,Accident on 2nd Ave near John St.
0,Very slow traffic due to accident on WA-99 Alaskan Way Via at Western Ave.
0,Accident on Eastlake Ave at Harvard Ave.
0,Accident on 62nd St near 12th Ave.
0,Accident on WA-522 Lake City Way Westbound at 100th St.
0,Very slow traffic due to accident on Elliott Ave at Cedar St.
0,Accident on Olive Way at 6th Ave.
0,Accident on 3rd Ave at Lander St.
0,Accident on Kenyon St at Rainier Ave.
0,Accident on Ohio Ave near Hudson St.
0,Accident on 1st Ave at Bennett St.
0,Accident on WA-522 Lake City Way Westbound at 98th St.
0,Accident on 2nd Ave Eastbound at Lenora St.
0,Queueing traffic due to accident on WA-519 Royal Brougham Way at 4th Ave.
1,Queueing traffic and Left lane blocked due to accident on I-5 Southbound at Exits 169 170 Ravenna Blvd.
1,Right lane blocked due to accident on I-5 Southbound at I-5 Exits 166 167 / Pike St / 9th Ave / Mercer St.
0,Accident on 65th St at 23rd Ave.
0,Accident on Aloha St at Taylor Ave.
0,Queueing traffic due to accident on 85th St Eastbound at Stone Ave.
0,Accident on Western Ave Northbound at Spring St.
0,Accident on 50th St at Meridian Ave.
0,Accident on 143rd St at 15th Ave.
0,Accident on Martin Luther King Jr Way at Orcas St.
0,Slow traffic due to accident on Alki Ave both ways near Bonair Dr.
0,Accident on Ballard Way near 11th Ave.
0,Accident on WA-99 Aurora Ave at 140th St.
0,Accident on WA-99 Aurora Ave at 95th St.
0,Accident on Bagley Ave at 36th St.
0,Accident on Lane St Eastbound at 18th Ave.
0,Accident on Lake Washington Blvd Southbound at Jefferson St.
0,Accident on Seward Park Ave at Hamlet Ave.
1,Right lane blocked due to accident on I-5 Northbound at I-5 Exits 166 167 / Pike St / 9th Ave / Mercer St.
0,Accident on Rainier Ave at 56th Ave.
0,Accident on 20th Ave at 47th St.
1,Shoulder blocked due to accident on I-5 Northbound at Boeing Access Rd.
0,Left lane blocked due to accident on WA-520 Westbound before I-5.
0,Accident on Stewart St at 6th Ave.
0,Accident on Eastlake Ave at Hamlin St.
0,Accident on Madison St at Boren Ave.
0,Lane blocked due to accident on Dexter Ave Southbound at Roy St.
0,Accident on Westlake Ave at Denny Way.
1,Two lanes blocked and queueing traffic due to accident on I-5 Southbound at Exit 176 175th St.
0,Accident on 5th Ave at Brandon St.
0,Accident on Pike St near 18th Ave.
0,Slow traffic due to accident on Dexter Ave at Roy St.
0,Accident on 13th Ave at Boston St.
0,Slow traffic due to accident on Charles St at 7th Ave.
0,Slow traffic due to accident on Queen Anne Ave at Mercer St.
0,Queueing traffic due to accident on Westlake Ave at Denny Way.
0,Slow traffic due to accident on Leary Way both ways at Bright St.
0,Accident on Western Ave at Eagle St.
0,Accident on Alaskan Way at Clay St.
0,Accident on Nob Hill Ave at Ward St.
0,Slow traffic due to accident on 11th Ave at Henderson St.
0,Slow traffic due to accident on Spring St at 4th Ave.
0,Accident on Corliss Ave in Seattle.
0,Accident on Fairview Ave at Lynn St.
0,Accident on Jefferson St at 9th Ave.
0,Accident on 13th Ave at Nevada St.
0,Accident on Rainier Ave at Walker St.
0,Accident on Martin Luther King Jr Way Westbound at Walden St.
0,Accident on 110th St at 35th Ave.
0,Accident on 127th St at 3rd Ave.
0,Slow traffic due to accident on 5th Ave at Seneca St.
1,Left lane blocked due to accident on I-5 Southbound before Mercer St.
0,Accident on 32nd Ave at Dravus St.
0,Center lane blocked due to accident on WA-518 Eastbound at I-5.
0,Accident on Martin Luther King Jr Way at Hanford St.
0,Accident on 32nd Ave at Dravus St.
0,Accident on 75th St at 12th Ave.
0,Slow traffic due to accident on WA-509 Northbound near WA-99 Marginal Way.
0,Accident on 11th Ave at Harrison St.
0,Accident on Martin Luther King Jr Way at Hanford St.
0,Accident on 10th Ave at Roanoke St.
0,Accident on Broadway at John St.
0,Accident on Martin Luther King Jr Way at Henderson St.
0,Accident on Phinney Ave at 55th St.
0,Accident on Stone Way at 40th St.
0,Slow traffic due to accident on Madison St at Boren Ave.
0,Accident on Renton Ave at Orcas St.
0,Accident on Dexter Ave at Crockett St.
0,Accident on 70th St at Brooklyn Ave.
0,Accident on 15th Ave between Ballard Brg and Nickerson St.
0,Accident on 3rd Ave Southbound at Forest St.
0,Accident on 35th Ave at Dawson St.
0,Accident on Main St at 2nd Ave.
0,Accident on Maynard Ave at King St.
0,Accident on 2nd Ave at Cedar St.
1,Very slow traffic and right lane blocked due to accident on I-5 Northbound at Exits 161 162 Corson Ave.
1,Very slow traffic and left lane blocked due to accident on I-5 Southbound at 50th St.
0,Queueing traffic due to accident on WA-99 Aurora Ave both ways at WA-99 Aurora Ave / Dexter Ave.
0,Slow traffic due to accident on 19th Ave at Madison St.
0,Slow traffic due to accident on Market St at Ballard Ave.
0,Accident on Rainier Ave at State St.
1,Two lanes blocked due to accident on I-5 Southbound at Exits 166 167 Pike St.
0,Accident on Latona Ave at 47th St.
0,Accident on 8th Ave at Roxbury St.
1,Slow traffic and left lane blocked due to accident on I-5 Southbound near Exit 169 7th Ave.
1,Accident on I-5 Northbound at Exit 173 1st Ave.
0,Accident on 42nd Ave at Alaska St.
0,Accident on Harvard Ave at Olive Way.
0,Accident on Alder St at Boren Ave.
0,Accident on Warren Ave at Hayes St.
0,Slow traffic due to accident on Elliott Ave at Galer St.
0,Very slow traffic due to accident on 17th Ave at Madison St.
1,Accident on I-5 Northbound at Exit 175 WA-523 145th St.
0,Slow traffic due to accident on 4th Ave at Industrial Way.
0,Slow traffic due to accident on 5th Ave at King St.
0,Accident on 51st Ave near 93rd St.
0,Slow traffic due to accident on Greenwood Ave at 127th St.
1,Queueing traffic and HOV lane blocked due to accident on I-5 Southbound at Exit 173 1st Ave.
1,One lane blocked due to accident on I-5 Northbound at Exit 176 175th St.
0,Accident on Thornton Pl Eastbound near 103rd St.
0,Slow traffic due to accident on WA-522 Lake City Way at 137th St.
0,Very slow traffic due to accident on Martin Luther King Jr Way at Othello St.
0,Accident on Rainier Ave at Willow St.
1,Two lanes blocked and very slow traffic due to accident on I-5 Northbound at Exit 169 7th Ave.
0,Accident on Genesee St at 36th Ave.
0,Slow traffic due to accident on Greenwood Ave Southbound at 84th St.
0,Accident on 22nd Ave at Jefferson St.
0,Accident on 140th St at WA-522 Lake City Way.
0,Accident on 53rd Ave in Seattle.
0,Queueing traffic due to accident on Broad St Southbound at 5th Ave.
0,Accident on Olive St at 24th Ave.
1,Queueing traffic and Right lane blocked due to accident on I-405 Northbound at Exit 1 WA-181 Interurban Ave.
1,Three lanes blocked due to accident on I-5 at Exits 168A 168B WA-520.
0,Accident on Fauntleroy Way Westbound near Alaska St.
0,Accident on 39th Ave at Graham St.
0,Accident on 40th St at Wallingford Ave.
0,Accident on 9th Ave at Lee St.
0,Accident on Greenwood Ave at 84th St.
1,Two lanes blocked due to accident on I-5 Southbound at Exit 156 Interurban Ave. Expect delays.
0,Left lane blocked due to accident on WA-520 Westbound at WA-513 Montlake Pl.
1,HOV lane blocked due to accident on I-5 Southbound between Exit 156 Interurban Ave and Exit 154B Southcenter Blvd.
0,Accident on 4th Ave at Jackson St.
1,Lane blocked due to accident on I-5 Southbound at Exit 152 Orillia Rd.
0,Left lane blocked due to accident on WA-523 145th St Eastbound at I-5. Expect delays.
1,Two left lane blocked due to accident on I-5 Southbound near Exits 153 154A 154AB I-405.
0,Accident on 15th Ave at Angeline St.
0,Accident on 17th Ave at Shelton St.
0,Accident on Columbian Way near Snoqualmie St.
0,Accident on 90th St near WA-99 Aurora Ave.
0,Accident on Alder St near 12th Ave.
0,Slow traffic due to accident on Rainier Ave at McClellan St.
1,Lane blocked on exit ramp and slow traffic due to accident on I-5 Southbound at I-90.
0,Accident on 65th St at 7th Ave.
0,Accident on Albion Pl near 36th St.
0,Accident on 4th Ave at Lenora St.
0,Right lane blocked due to accident on WA-520 Eastbound near WA-513 Montlake Pl.
0,Accident on 3rd Ave at Lee St.
0,Accident on Columbian Way at Beacon Ave.
0,Accident on Seaview Ave Northbound near Burke-Gilman Trl.
1,Accident on Dexter Ave at Hayes St.
0,Accident on 7th Ave at 65th St.
0,Accident on Rainier Ave at I-90.
0,Slow traffic due to accident on Rainier Ave at College St.
1,Slow traffic due to accident on I-5 Northbound before Exits 164A 164B I-90.
0,Lane blocked due to accident on 3rd Ave both ways at University St.
0,Accident on 25th Ave at 55th St.
1,Slow traffic and left-center lane blocked due to accident on I-5 Northbound near Exits 164A 164B I-90.
0,Slow traffic due to accident on Broad St Southbound at 5th Ave.
0,Accident on Evanston Ave at 36th St.
0,Accident on WA-509 Northbound at Cloverdale St.
0,Accident on Fauntleroy Way at Raymond St.
1,1 HOV lane blocked due to accident on I-5 Southbound at Exit 154B Southcenter Blvd.
0,Accident on Martin Luther King Jr Way at Dakota St.
0,Left lane blocked due to accident on WA-99 Alaskan Way Via Northbound between Nevada St and Seattle Brg.
0,Accident on Fauntleroy Way at Raymond St.
1,Right lane blocked due to accident on I-5 Northbound near Columbian Way.
0,Accident on Broad St Southbound at 5th Ave.
0,Accident on 45th St at Linden Ave.
1,Lane blocked due to accident on I-5 Northbound after Exits 164 165 165A 165B Cherry St.
0,Lane blocked due to accident on Martin Luther King Jr Way both ways at Kenyon St.
1,Very slow traffic and left lane blocked due to accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
0,Accident on Cloverdale St at 5th Ave.
0,Accident on 80th St at Ashworth Ave.
0,Accident on Pacific St at Latona Ave.
0,Slow traffic due to accident on Greenwood Ave at 78th St.
0,Lane blocked and very slow traffic due to accident on Holman Rd at 103rd St.
0,Slow traffic due to accident on Boyer Ave at 24th Ave.
1,Accident on I-5 Northbound at Exit 168A Boylston Ave.
1,Three lanes blocked due to accident on I-5 Northbound at Exits 169 170 Ravenna Blvd.
1,3 right lane blocked due to accident on I-5 Southbound at Union St.
1,Right lane blocked due to accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
1,Right lane blocked due to accident on I-5 Southbound at Exits 166 167 Eastlake Ave.
1,Center lane blocked due to accident on I-5 Northbound at Exits 166 167 Eastlake Ave.
1,Right lane blocked due to accident on I-5 Southbound near Exit 157 WA-900 Martin Luther King Jr Way.
1,Right lane blocked due to accident on I-5 Southbound near Exit 173 1st Ave.
0,Accident on Graham St at Rainier Ave.
0,One lane blocked due to accident on 15th Ave Southbound at 62nd St.
0,One lane blocked due to accident on WA-99 Alaskan Way Via Northbound at WA-519 Royal Brougham Way.
0,Accident on 48th St at Midvale Ave.
0,Accident on 4th Ave at Olson Pl.
