Label,Description
1,Slow traffic due to accident on I-75 Northbound at Exits 242 243 I-85.
1,Accident on I-75 Northbound at Exits 246 248A I-20.
0,Accident on US-29 Ponce de Leon Ave at Barnett St.
0,Accident on 10th St at Piedmont Ave.
1,One lane blocked due to accident on I-285 Southbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
1,Right hand shoulder blocked due to accident on I-285 Eastbound at Exit 20 I-75.
0,Accident on Peachtree St at 11th St.
0,Queueing traffic due to multi-vehicle accident on GA-400 Southbound around Exit 4C Hammond Dr.
1,Accident on I-285 Southbound at Exits 32 33B I-85.
0,Lane blocked and queueing traffic due to accident on GA-400 Southbound at Exit 6 Northridge Rd.
1,Accident on I-20 Eastbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Right hand shoulder blocked due to accident on I-20 Westbound at Exits 51A 51B I-285.
1,Four lane blocked due to accident on I-85 I-75 at Exit 249D I-75.
1,Accident on I-75 at Exit 256 US-41 Northside Pkwy.
0,Accident on GA-400 Southbound at Exit 2 Lenox Rd.
0,Two lanes blocked due to accident on GA-400 Southbound at Exit 4A Glenridge Connector.
1,Left hand shoulder blocked due to accident on I-75 Southbound at 17th St.
1,Right hand shoulder blocked due to accident Truck involved on I-75 Southbound at Exits 259A 259B I-285.
0,Accident on Lake Ave at Martin Luther King Jr Dr.
0,Accident on Fairburn Rd at Welcome All Rd.
1,Accident on I-75 Northbound at 10th St.
0,Accident on Briarwood Rd at GA-13 Buford Hwy.
1,Right lane blocked due to accident on I-75 Northbound after Exit 254 Moores Mill Rd.
1,Right hand shoulder blocked due to accident on I-20 Westbound at Windsor St.
1,Right hand shoulder blocked due to accident on I-75 Northbound before Exits 259A 259B I-285.
0,Delays due to accident on Chattahoochee Ave near Ellsworth Industrial Blvd.
0,Accident on Peachtree St at GA-154 Trinity Ave.
1,Right hand shoulder blocked due to accident on I-75 Northbound before Porsche Ave.
1,Left hand shoulder blocked due to accident on I-285 Westbound at Exits 9 10A 10B I-20.
0,Delays due to accident on Peachtree St at John Wesley Dobbs Ave.
1,Delays due to accident on Boulevard at Sydney St.
0,Accident on US-23 Moreland Ave at Confederate Ave.
0,Accident on US-19 Roswell Rd at Midvale Dr.
1,Two left lane blocked due to accident on I-20 Eastbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Right hand shoulder blocked due to accident on I-75 Northbound at Exits 246 248A I-20.
1,Accident on I-285 Westbound at Exits 33 34 Chamblee Tucker Rd.
0,Accident on GA-400 Southbound at Exits 1A 1B Sidney Marcus Blvd.
1,Right hand shoulder blocked due to accident on I-20 Westbound at Exit 53 GA-139 Martin Luther King Jr Dr.
1,Right lane blocked due to accident on I-85 Northbound at Exit 93 Shallowford Rd.
1,Accident on I-20 Eastbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Accident on I-85 Southbound at Exit 66 Flat Shoals Rd.
1,Right lane blocked due to accident on I-20 Eastbound at Exits 51A 51B I-285.
1,Right lane blocked due to accident on I-20 Eastbound at Exit 55A Oak St.
1,Accident on I-20 Eastbound at Joseph E Lowery Blvd.
1,Right lane blocked due to accident on I-85 Southbound at GA-13.
1,Right lane blocked and right hand shoulder blocked due to accident on I-85 Southbound at Exit 66 Flat Shoals Rd.
1,Queueing traffic and Right lane blocked due to accident on I-20 Westbound at Exits 52 52A 52B Burton Rd.
0,Slow traffic due to accident on 18th St both ways around US-19 Peachtree St.
1,Two lanes blocked due to accident on I-285 Eastbound at Exit 30 Chamblee Dunwoody Rd.
0,Accident on Sylvan Rd at GA-166 Arthur Langford Pkwy.
1,Accident on I-75 Northbound at GA-10 Freedom Pkwy.
1,Second left lane blocked due to accident on I-75 Northbound after GA-54 University Ave.
1,Left lane blocked due to accident on I-75 Northbound at Abernathy Blvd.
0,Delays due to accident on US-41 Metropolitan Pkwy at Cleveland Ave.
0,Delays due to serious accident on GA-70 Fulton Industrial Blvd at GA-6 Camp Creek Pkwy.
0,Accident on Fulton St at Windsor St.
1,Two left lane blocked due to accident on I-285 Southbound near Exit 1 Washington Rd.
0,Delays due to accident on GA-237 Piedmont Rd at Lakeshore Dr.
1,Accident on I-20 Westbound at Exits 59A 59B Boulevard.
1,Restrictions on exit ramp due to accident on I-85 Southbound before Northcrest Rd.
1,Accident on I-285 Northbound at Exits 9 10A 10B I-20.
1,Left hand shoulder blocked due to accident on I-75 Southbound at 17th St.
1,HOV lane blocked due to accident on I-85 Southbound after Exits 86 87 GA-400.
0,Accident on Casplan St at US-41 Metropolitan Pkwy.
1,Accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
1,Right lane blocked due to accident on I-20 Eastbound at Exit 55A Oak St.
1,Two lanes blocked due to accident on I-285 Southbound at Exits 9 10A 10B I-20.
1,Center lane blocked due to accident on I-85 Northbound at Pleasantdale Rd.
1,Accident on I-85 Northbound at Northcrest Rd.
1,Accident on I-85 I-75 Southbound at Williams St.
1,Accident on I-285 Southbound at Exit 13 Bolton Rd.
1,Accident on I-75 Southbound at GA-10 Freedom Pkwy.
1,Queueing traffic and 1st lane blocked due to accident on I-285 Eastbound at Exits 32 33B I-85.
1,Queueing traffic and left lane blocked due to accident on I-285 Eastbound at Exits 32 33B I-85.
0,Queueing traffic due to accident on Pharr Rd at GA-237 Piedmont Rd.
1,Queueing traffic and two-left lane blocked due to accident on I-285 Eastbound at Exits 32 33B I-85.
0,Slow traffic due to accident on US-19 Peachtree St Northbound at Peachtree St.
0,Queueing traffic due to accident on GA-141 Peachtree Rd both ways around Maple Dr.
1,Slow traffic left lane blocked and left hand shoulder blocked due to multi-vehicle accident on I-85 I-75 Southbound before I-85 I-75 Exit 248C / JW Dobbs Ave.
1,Delays and right hand shoulder blocked due to accident on I-285 Northbound before Exits 33 34 Chamblee Tucker Rd.
1,Right hand shoulder blocked due to accident on I-75 Southbound at GA-166 Langford Pkwy.
1,Right hand shoulder blocked due to accident on I-285 Westbound at Exit 29 Ashford Dunwoody Rd.
1,Right hand shoulder blocked due to accident on I-20 Eastbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Lane blocked on exit ramp due to accident on I-85 Northbound at Exits 68 69A 69B I-285.
1,Delays due to accident on I-85 Northbound at GA-400.
1,Right hand shoulder blocked due to accident on I-85 Northbound at GA-13 Buford Hwy.
0,Accident on US-29 Ponce de Leon Ave at GA-42 Briarcliff Rd.
1,Left hand shoulder blocked due to accident on I-285 Westbound before US-23 Buford Hwy.
1,Accident on I-85 Southbound at 17th.
1,Accident on I-75 Southbound after Exit 256 US-41 Northside Pkwy.
1,Three of five lane blocked due to accident on I-75 Southbound after Exit 256 US-41 Northside Pkwy.
0,Left lane blocked due to accident on GA-400 Southbound before Exit 6 Northridge Rd.
1,Right hand shoulder blocked due to accident on I-75 Southbound at 10th St.
1,Accident on I-75 Southbound at North Ave.
0,Accident on Cleveland Ave at Beeler Dr.
0,Accident on GA-42 both ways at Isa Dr.
1,Accident on I-20 Eastbound at Joseph E Lowery Blvd.
0,Accident on Chattahoochee Ave at Ellsworth Industrial Blvd.
0,Left lane blocked due to accident on GA-400 Northbound at Exit 6 Northridge Rd.
1,Queueing traffic due to rolling road block and accident on I-85 I-75 Southbound after Exit 250 / 10th St.
0,Accident on US-29 North Ave at Piedmont Ave.
1,Queueing traffic and 2nd lane blocked due to accident on I-85 Northbound at Exit 94 Chamblee Tucker Rd.
1,Queueing traffic and shoulder blocked due to accident now on the shoulder on I-85 Northbound at Exit 94 Chamblee Tucker Rd.
0,Accident on Buffington Rd at Flat Shoals Rd.
1,Lane blocked and queueing traffic due to accident on I-85 I-75 Northbound at Exit 248C / GA-10 Freedom Pkwy.
1,Three lane blocked due to accident on I-75 Southbound after GA-54 University Ave.
1,Delays due to accident on I-85 Southbound before GA-13 Buford Hwy.
1,Accident on I-75 Southbound before North Ave.
0,Left lane blocked due to accident on GA-3 both ways at Fair St.
1,Left hand shoulder blocked due to accident on I-285 Northbound before Exit 13 Bolton Rd.
1,Accident on I-285 Eastbound before Exit 25 US-19.
1,Delays due to accident on I-285 Westbound at Exits 31A 31B GA-141 Peachtree Industrial Blvd.
1,Second left lane blocked due to accident on I-75 Southbound before Exit 255 Paces Ferry Rd.
1,Right lane blocked and right hand shoulder blocked due to accident on I-75 Northbound before Edgewood Ave.
1,Left lane blocked and right hand shoulder blocked due to accident on I-85 Southbound before Exits 84 85 I-75.
0,Accident on Peachtree St at John Wesley Dobbs Ave.
1,Three of four lane blocked and right hand shoulder blocked due to accident on I-285 Southbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
1,Accident on I-20 Eastbound at Exit 55A Oak St.
1,Right hand shoulder blocked due to accident on I-75 Southbound at Exits 259 260 Windy Hill Rd.
1,Right hand shoulder blocked due to accident on I-75 Northbound at Exits 251 252A 252B US-41 Northside Dr.
1,Accident on I-85 Southbound at 17th St.
1,Right hand shoulder blocked due to accident on I-285 Southbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
0,Accident on Paces Ferry Rd at Peachtree Dr.
1,Right hand shoulder blocked due to accident on I-75 Southbound at Exits 249C 249D I-85 I-75.
1,Center lane blocked due to accident on I-75 Southbound at Martin Luther King Dr.
1,Accident on I-85 Northbound at Exit 94 Chamblee Tucker Rd.
1,Slow traffic and right hand shoulder blocked due to accident now on the shoulder on I-20 Westbound at Exits 52 52A 52B Burton Rd.
1,Slow traffic due to accident on I-75 I-85 Northbound before Exit 248C / GA-10 Freedom Pkwy.
1,Lane blocked and queueing traffic due to accident on I-285 Southbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
1,Right hand shoulder blocked due to accident on I-20 Westbound at Exits 56B 57 I-85 I-75.
0,Accident on US-78 North Ave at Spring St.
0,Accident on Paces Ferry Rd at US-41 Northside Pkwy.
1,Right hand shoulder blocked due to accident on I-285 Northbound at Exit 1 Washington Rd.
1,Second right lane blocked due to accident on I-85 I-75 Northbound at Edgewood Ave.
1,Left lane blocked due to accident on I-285 Westbound before GA-400.
1,Left lane blocked due to accident on I-285 Eastbound before Exit 29 Ashford Dunwoody Rd.
1,Second left lane blocked due to accident on I-85 Southbound before Exit 93 Shallowford Rd.
1,Right hand shoulder blocked due to accident on I-285 Southbound after Exit 12 US-278 Donald Lee Hollowell Pkwy.
1,Center lane blocked due to accident on I-75 Northbound at Abernathy Blvd.
1,Accident on I-75 Northbound at GA-10 Freedom Pkwy.
1,2 right lane blocked and right hand shoulder blocked due to accident on I-285 Southbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
1,Accident on I-85 Southbound at Pleasantdale Rd.
0,Left hand shoulder blocked due to accident on GA-400 Southbound before Exits 5 5A 5B Abernathy Rd.
0,Accident on Boulevard at North Ave.
1,Right hand shoulder blocked due to accident on I-285 Westbound at Exit 51 Bouldercrest Rd.
0,Accident on GA-139 Martin Luther King Jr Dr at Boulder Park Dr.
1,Right hand shoulder blocked due to accident on I-285 Westbound before Exit 51 Bouldercrest Rd.
0,Accident on GA-237 Piedmont Rd at Lakeshore Dr.
1,Right hand shoulder blocked due to accident on I-285 Westbound at Exit 51 Bouldercrest Rd.
0,Accident on US-78 Ponce de Leon Ave at US-29 Piedmont Ave.
1,Lane blocked due to accident on I-75 Northbound at Exits 259 260 Windy Hill Rd.
1,Accident on I-75 Northbound at 14th St.
0,Accident on US-23 Moreland Ave at US-29 Ponce de Leon Ave.
1,Lane blocked due to accident on I-85 Northbound at GA-166.
0,Accident on Peachtree St near Brotherton Transportation Mall.
0,Accident on GA-400 Northbound after Exits 5 5A 5B Abernathy Rd.
1,Accident on I-285 Westbound at Exit 51 Bouldercrest Rd.
0,Accident on Boulevard at John Wesley Dobbs Ave.
1,Two lanes blocked due to accident on I-85 I-75 Southbound after Exit 249B I-75.
1,Accident on I-75 Southbound at Exit 252 Howell Mill Rd.
1,Accident on I-85 Northbound at Piedmont Rd.
1,Right hand shoulder blocked due to accident on I-285 Eastbound at GA-400.
1,One lane blocked due to accident on I-75 Northbound at I-85 I-75.
1,Right hand shoulder blocked due to accident on I-85 I-75 Southbound at GA-54 University Ave.
1,Lane blocked on exit ramp due to accident on I-285 Westbound at I-85.
1,Accident on I-85 I-75 Northbound at Fulton St SW.
1,Accident on I-285 Southbound at GA-154 Campbellton Rd SW.
1,Accident on I-285 Northbound at Exits 19 20 US-41 Cobb Pkwy.
1,Accident on I-20 Eastbound at Exits 60 60A 60B US-23 Moreland Ave.
1,Accident on I-85 I-75 Southbound at GA-54 University Ave.
1,Accident on I-85 I-75 Southbound at I-20.
0,Accident on GA-166 Arthur Langford Pkwy Eastbound at Lakewood Ave.
1,Accident on I-285 Northbound at GA-154 Arthur Langford Pkwy.
1,Accident on I-285 Westbound at Exit 55 GA-54 Jonesboro Rd.
1,Lane blocked on exit ramp due to accident on I-285 Westbound at GA-400.
1,Accident on I-85 Northbound at Burford Hwy NE.
1,Accident on I-20 Westbound at Exits 52 52A 52B Burton Rd.
1,Accident on I-20 Westbound at Exit 53 GA-139 Lake Ave.
1,Accident on I-285 Northbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
1,Accident on I-285 Northbound at Exit 7 Cascade Rd.
1,Left hand shoulder blocked due to accident on I-20 Eastbound at Hill St.
1,Left hand shoulder blocked due to accident on I-20 Westbound at Exits 60 60A 60B US-23 Moreland Ave.
1,Right hand shoulder blocked due to accident on GA-166 Arthur Langford Pkwy Eastbound at Lakewood Ave.
1,Right lane blocked due to accident on I-285 Eastbound at US-19 Roswell Rd.
1,Two lanes blocked due to accident on I-285 Eastbound at Exit 22 New Northside Dr.
1,Right hand shoulder blocked due to accident on I-20 Westbound at Exits 59A 59B Boulevard.
1,Accident on I-85 Southbound at Exit 91 Northeast Expy.
1,Accident on I-85 I-75 Southbound at Williams St NW.
1,Accident on I-285 Eastbound at Exits 32 33A US-23 Buford Hwy.
1,Accident on I-20 Westbound at US-23 Moreland Ave.
1,Right lane blocked due to accident on I-285 Eastbound at Exits 32 33A US-23 Buford Hwy.
1,Lane blocked due to accident on I-85 I-75 Southbound before Exit 249D I-75.
1,Accident on I-85 Southbound at Exit 91 Northeast Expy.
0,Accident on Ted Turner Dr at Martin Luther King Jr Dr.
1,Accident on I-75 Southbound at Exit 244 I-85 I-75.
0,Accident on GA-237 Piedmont Rd near GA-141 Peachtree Rd.
0,Accident on GA-141 Peachtree Rd at Grandview Ave.
1,Two lane blocked due to accident on I-85 Southbound at I-75.
1,Right lane blocked due to accident on I-75 Northbound at Exits 259 260 Windy Hill Rd.
1,Right hand shoulder blocked due to accident on I-285 Eastbound at Exit 51 Bouldercrest Rd.
1,Three lanes blocked due to accident on I-285 Eastbound before Exit 22 New Northside Dr.
1,Accident on I-20 Westbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Accident on I-285 Westbound before Exit 24 Riverside Dr.
1,Accident on I-85 I-75 Northbound before Exit 250 I-75.
1,Accident on I-285 Northbound at Exit 18 Paces Ferry Rd.
1,Accident on I-20 Eastbound after Exit 62 Flat Shoals Rd.
1,Left lane blocked and left hand shoulder blocked due to accident on I-285 Westbound at Exit 30 Chamblee Dunwoody Rd.
1,Left lane blocked due to accident on I-20 Eastbound at Exit 56A McDaniel St.
0,Accident on Spring St at Peachtree St.
0,3 of 4 lane blocked due to accident on GA-400 Northbound at Exit 6 Northridge Rd.
0,Accident on GA-6 Camp Creek Pkwy Eastbound at Butner Rd.
1,Right hand shoulder blocked due to accident on I-75 Southbound at 16th St.
1,Right hand shoulder blocked due to accident on I-75 Northbound after North Ave.
1,Right hand shoulder blocked due to accident on I-75 Northbound before 10th St.
1,Right hand shoulder blocked due to accident on I-85 Southbound at Exit 89 GA-42 Druid Hills Rd.
1,Center lane blocked due to accident on I-75 Northbound before Spring St.
0,Right hand shoulder blocked due to accident on GA-400 Northbound before Exit 4C Hammond Dr.
1,Right hand shoulder blocked due to accident on I-75 Northbound at Pine St.
0,2 of 3 lane blocked due to accident on GA-9 Northbound at Peachtree Ave.
0,Accident on US-23 Moreland Ave at Euclid Ave.
1,Accident on I-75 Northbound at Exit 244 I-85 I-75.
0,Accident on GA-141 Peachtree Rd at Maple Dr.
1,HOV lane blocked due to accident on I-85 Northbound after US-23 Clairmont Rd.
1,Left lane blocked due to accident on I-285 Northbound before Exits 33 34 Chamblee Tucker Rd.
0,Accident on Buckhead Ave at US-19 Peachtree Rd.
1,Left lane blocked due to accident on I-85 Northbound at US-23 Clairmont Rd.
1,Restrictions on exit ramp due to accident on I-85 Northbound at US-23 Clairmont Rd.
1,Lane blocked on exit ramp due to accident on I-75 Southbound at Williams St.
1,Accident on I-285 Northbound at Exit 1 Washington Rd.
1,Accident on I-285 Westbound at Exit 55 GA-54 Jonesboro Rd.
1,Accident on I-85 Northbound at GA-237 Piedmont Rd.
1,Accident now on the shoulder on I-75 Southbound at Exits 246 248A I-20.
0,Accident on Ralph McGill Blvd at Piedmont Ave.
0,Accident on GA-400 Northbound at Exits 3 4A I-285.
1,Lane blocked and slow traffic due to accident on I-85 I-75 Northbound at Exit 249B I-75.
1,Accident on I-85 Northbound before Exit 93 Shallowford Rd.
1,Delays due to multi-vehicle accident on I-285 clockwise at Exits 19 20 US-41 Cobb Pkwy.
1,Right hand shoulder blocked due to accident on I-285 Eastbound before GA-400.
1,Right hand shoulder blocked due to accident on I-20 Westbound before Exits 59A 59B Boulevard.
1,Delays due to accident on I-75 Northbound at 10th St.
0,Delays due to accident on Piedmont Ave at 12th St.
0,Delays due to accident on Piedmont Ave at 12th St.
0,Delays due to serious accident on Piedmont Rd at Lambert Dr.
1,Second right lane blocked due to accident on I-85 Northbound before GA-13 Buford Hwy.
1,Left lane blocked due to accident on I-285 Northbound before Exits 19 20 US-41 Cobb Pkwy.
0,Accident on Peachtree St at 3rd St.
0,Accident on Peachtree St at 4th St.
0,Right lane blocked due to accident on GA-400 Northbound at Exit 2 Lenox Rd.
0,Accident on Wesley Rd at US-19 Peachtree Rd.
0,Accident on US-29 North Ave at US-278 Juniper St.
1,Right lane blocked due to accident on I-85 Southbound at Exit 96 Northeast Expy.
1,Lane blocked on exit ramp due to accident on I-20 Eastbound at Exits 56B 57 I-85 I-75.
1,Left hand shoulder blocked due to accident on I-85 Northbound at Exits 86 87 GA-400.
1,#3 lane blocked due to accident on I-85 Northbound at Exit 94 Chamblee Tucker Rd.
1,#2 lane blocked due to accident on I-85 I-75 Southbound at Exit 249D I-75.
1,Accident on I-75 Southbound at Exits 259 260 Windy Hill Rd.
1,Accident on GA-400 Southbound at Exit 2 Lenox Rd.
0,Accident on Boulevard at Burroughs St.
1,Accident on I-285 Eastbound at Exit 55 GA-54 Jonesboro Rd.
0,Accident on GA-237 Piedmont Rd at Morosgo Dr.
1,#3 lane blocked due to accident on I-75 Northbound at 10th St.
1,Left lane blocked due to accident on I-285 Northbound at Exit 20 I-75.
1,Accident now on the shoulder on I-85 Northbound at Exit 94 Chamblee Tucker Rd.
1,Lane blocked and queueing traffic due to accident on I-285 Westbound before Exits 31A 31B GA-141 Peachtree Industrial Blvd.
1,Slow traffic due to accident on I-20 Eastbound at Exit 55A Oak St.
1,Lane blocked and queueing traffic due to accident on I-85 Southbound before Exits 84 85.
1,Accident on I-75 Northbound at Exits 259A 259B I-285.
1,Right hand shoulder blocked due to accident on I-285 Westbound at Exits 58 59 Inner Loop Rd.
0,Left hand shoulder blocked due to accident on GA-166 Arthur Langford Pkwy Eastbound before Sylvan Rd.
1,Delays due to accident on I-285 Northbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
1,Delays due to accident on I-285 Eastbound after Exit 22 New Northside Dr.
0,Delays due to accident on Martin Luther King Jr Dr at Peachtree St.
1,Delays due to accident on I-75 Southbound at GA-10 Freedom Pkwy.
1,Delays due to accident on I-75 Northbound at Abernathy Blvd.
1,Center lane blocked due to accident on I-75 Northbound at Exits 246 248A I-20.
0,Delays due to accident on Sidney Marcus Blvd at GA-237 Piedmont Rd.
1,Right hand shoulder blocked due to accident on I-20 Westbound before Exit 61A Maynard Ter.
1,Left hand shoulder blocked due to accident on I-20 Westbound at Exit 61A Maynard Ter.
1,Left hand shoulder blocked due to accident on I-75 Northbound before GA-10 Freedom Pkwy.
1,Two lanes blocked due to accident on I-85 Northbound at Virginia Ave.
1,Left lane blocked and left hand shoulder blocked due to accident on I-85 Southbound at Exits 73 73A 73B Virginia Ave.
1,Left lane blocked and left hand shoulder blocked due to accident on I-20 Eastbound at Windsor St.
1,Left hand shoulder blocked due to accident on I-285 Westbound before Exit 55 GA-54 Jonesboro Rd.
1,Lane blocked on exit ramp due to accident on I-285 Eastbound at I-75.
1,Left hand shoulder blocked due to accident on I-85 I-75 Southbound at North Ave.
1,Accident on I-75 Southbound at 17th St.
1,Left hand shoulder blocked and right hand shoulder blocked due to accident on I-75 Southbound at 16th St.
1,2 left lane blocked due to accident on I-75 Northbound at Exits 248C 248D I-85 I-75.
1,Accident on I-20 Westbound at Exits 60 60A 60B US-23 Moreland Ave.
1,Three lanes blocked due to accident on I-285 Eastbound at Exits 32 33B I-85.
1,Accident on I-75 Southbound at Exits 238B 239 Charles W Grant Pkwy.
0,Queueing traffic and Right lane blocked due to accident on GA-9 Roswell Rd Southbound at Allen Rd.
0,Queueing traffic due to accident on Lenox Rd at GA-141 Peachtree Rd.
1,One lane blocked due to accident on I-285 clockwise at Exit 7 Cascade Rd.
1,Accident on I-285 at Exit 7 Cascade Rd.
1,Right lane blocked due to accident on I-285 Eastbound at Exit 58 US-41 Old Dixie Rd.
0,Accident on Decatur St Eastbound at Peachtree Center Ave.
1,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound at Courtland St.
1,Shoulder blocked on exit ramp due to accident on I-285 Westbound at Exit 20 I-75.
0,Lane blocked due to accident on Lake Forrest Dr both ways at Burdette Rd.
0,Accident on Boulder Park Dr at Fairburn Rd.
0,Accident on Fulton St at Capitol Ave.
1,Second and third left lane blocked due to accident on I-85 Northbound before GA-13 Buford Hwy.
0,Right flex lane blocked due to accident on US-19 Southbound before Exit 5C.
0,Second left lane blocked and right hand shoulder blocked due to accident on GA-400 Southbound after Exit 6 Northridge Rd.
1,Lane blocked on exit ramp due to accident on I-285 Eastbound at Exit 20 I-75.
1,Left lane blocked and left hand shoulder blocked due to accident on I-285 Westbound at Exits 31A 31B GA-141 Peachtree Industrial Blvd.
0,Delays due to accident on US-23 Buford Hwy at Weaver Way.
1,Accident on I-20 Eastbound at Exits 56B.
1,Accident on I-75 Northbound before I-85 I-75.
0,Accident on US-19 Peachtree Rd at Pharr Rd.
1,Delays due to accident on I-20 Eastbound at Joseph E Lowery Blvd.
1,Delays due to accident on I-75 Southbound at 10th St.
0,Accident on Bolton Rd at Northwest Dr.
1,Accident on I-85 Northbound at piedmont.
1,Accident on I-85 Northbound at Exits 86 87 GA-400.
1,Right hand shoulder blocked due to accident on I-75 Southbound at Exits 259A 259B I-285.
1,Accident on I-20 Eastbound at Exits 51A 51B I-285.
1,Accident on I-75 Northbound at 14th St.
1,Accident on I-285 Northbound at Exits 9 10A 10B I-20.
1,Right hand shoulder blocked due to accident on I-285 Westbound near Exit 20 I-75.
1,Accident on I-285 Eastbound at Exit 29 Ashford Dunwoody Rd.
1,Accident on I-85 Northbound at Pleasantdale Rd.
0,Accident on GA-139 Riverdale Rd at Sullivan Rd.
1,Right hand shoulder blocked due to fuel spillage on I-285 Southbound at Exit 60 GA-139 Riverdale Rd.
0,Accident on GA-141 Peachtree Rd at GA-237 Piedmont Rd.
0,Accident on Peachtree St at I-85 I-75.
1,Accident on I-20 Westbound near Exit 55B Lee St.
1,Left lane blocked due to accident on I-85 I-75 Northbound at Peachtree St.
0,Queueing traffic left lane blocked and left hand shoulder blocked due to accident on GA-166 Arthur Langford Pkwy Westbound after Lakewood Ave.
1,Queueing traffic and left hand shoulder blocked due to accident on I-285 Eastbound at I-75.
1,Accident on I-75 Southbound at Exit 252 Howell Mill Rd.
0,Accident on US-19 14th St both ways at Fowler St.
1,Right hand shoulder blocked due to accident on I-85 Southbound after Exits 86 87 GA-400.
1,Right hand shoulder blocked due to accident on I-85 Southbound at Exits 86 87 GA-400.
1,Accident on I-75 Northbound at Andrew Young International Blvd.
1,Delays due to accident on I-85 I-75 Northbound at Edgewood Ave.
1,Delays due to accident on I-285 Eastbound at Exit 22 New Northside Dr.
0,Accident on Peachtree St both ways at John Portman Blvd.
1,Delays and right hand shoulder blocked due to accident on I-85 Northbound at Exit 66 Flat Shoals Rd.
0,Accident on Confederate Ave both ways at Boulevard.
1,Lane blocked on exit ramp due to accident on I-20 Westbound at Exit 61B GA-260 Glenwood Ave.
1,Left hand shoulder blocked due to accident on I-285 Northbound after Exits 33 34 Chamblee Tucker Rd.
1,Left hand shoulder blocked due to accident on GA-400 Southbound before Exit 5C.
1,Left hand shoulder blocked due to accident fire truck involved on I-85 Southbound at Exit 88 Cheshire Bridge Rd.
1,Accident on I-75 Northbound at GA-54 University Ave.
1,Two left lane blocked due to accident on I-75 Northbound before Central Ave.
0,Accident on Martin Luther King Jr Dr both ways at Jesse Hill Jr Dr.
1,Second left lane blocked due to accident on I-75 Southbound before I-85.
1,Accident on I-75 Northbound at Peachtree St.
0,Accident on GA-237 Piedmont Rd at Sidney Marcus Blvd.
0,Delays due to accident on GA-237 Piedmont Rd both ways at Sidney Marcus Blvd.
1,Lane blocked on exit ramp due to accident on I-75 Southbound at I-285.
0,Accident police officer involved on Marietta St both ways near Forsyth St.
1,Accident on I-75 Southbound at I-20.
0,Accident on Lenox Rd at GA-141 Peachtree Rd.
1,2 left lane blocked due to accident on I-285 Southbound at Exit 7 Cascade Rd.
1,Left lane blocked due to accident on I-285 at Exits 33 34 Chamblee Tucker Rd.
1,2nd right lane blocked due to accident on I-75 Northbound at Exit 244 I-85 I-75.
1,Left hand shoulder blocked due to accident on GA-400 Southbound at Exits 1A 1B Sidney Marcus Blvd.
1,Center lane blocked due to accident on I-85 Northbound at Exit 93 Shallowford Rd.
1,Heavy traffic and 2 right lane blocked due to accident on I-285 Westbound at Exit 29 Ashford Dunwoody Rd.
1,Queueing traffic slow traffic and Right lane blocked due to accident on I-20 Eastbound at Exits 60 60A 60B US-23 Moreland Ave.
1,Lane blocked and queueing traffic on exit ramp due to accident on I-285 Eastbound at Exits 26 27 US-19.
0,Accident on GA-237 Piedmont Rd both ways at Lenox Rd.
1,Accident on I-75 Northbound at Exit 255 Paces Ferry Rd.
0,Accident on US-41 Metropolitan Pkwy both ways at Cleveland Ave.
0,Accident on GA-400 Northbound at Exits 1A 1B Sidney Marcus Blvd.
1,Right hand shoulder blocked due to accident on I-75 Northbound at Exit 254 Moores Mill Rd.
1,Accident on I-285 Northbound at Exits 19 20 US-41 Cobb Pkwy.
1,Left hand shoulder blocked due to accident on I-75 Southbound after Exits 250 251 I-85.
1,Accident on I-85 I-75 Southbound at Exit 250 I-75.
1,Accident on I-20 Westbound at Exit 49 GA-70 Fulton Industrial Blvd.
1,Left hand shoulder blocked due to accident on I-75 Northbound after Exit 244 I-85 I-75.
1,Left hand shoulder blocked due to accident on I-75 Northbound at I-85 I-75.
1,Lane blocked due to accident on GA-400 Southbound at Exits 5 5A 5B Abernathy Rd.
1,Two lanes blocked due to accident on I-20 Westbound at Exits 52 52A 52B Burton Rd.
1,Right hand shoulder blocked due to accident on I-285 Eastbound at Exit 51 Bouldercrest Rd.
1,Lane blocked due to accident on I-20 Westbound after Exits 52 52A 52B Burton Rd.
1,Two lanes blocked due to accident on I-85 I-75 Northbound before Exit 249D I-75.
1,Lane blocked due to accident on I-20 Westbound at Exit 53 GA-139 Martin Luther King Jr Dr.
1,2 right lane blocked and right hand shoulder blocked due to accident on I-85 Southbound at Exits 84 85 I-75.
1,Right lane blocked due to accident on I-85 Southbound at I-75.
